saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,tipo_movimentacao,tipo_deficiencia,salario_mensal,indicador_aprendiz
-1,103,6,18,44.0,6,1,40,0,606.0,1
-1,101,5,27,45.0,3,1,40,0,1459.35,0
-1,101,7,32,44.0,3,1,40,0,1600.0,0
-1,101,7,31,44.0,3,1,40,0,1320.0,0
-1,101,4,62,44.0,6,1,40,0,1885.62,0
-1,101,4,30,45.0,3,1,40,0,1460.8,0
-1,101,2,33,44.0,3,1,40,0,1885.62,0
-1,101,5,31,44.0,3,1,40,0,1729.93,0
-1,101,6,38,44.0,3,1,40,0,1885.62,0
-1,101,5,28,44.0,3,1,40,0,1320.0,0
-1,101,6,35,44.0,3,1,40,0,1877.0,0
-1,101,7,31,44.0,1,3,40,0,2915.86,0
-1,101,6,30,44.0,3,1,40,0,2024.21,0
-1,101,5,37,44.0,3,1,40,0,1885.62,0
-1,101,7,45,44.0,1,1,40,0,1885.62,0
-1,101,7,52,45.0,6,1,40,0,1885.62,0
-1,101,7,26,45.0,6,1,40,0,1343.77,0
-1,101,4,31,44.0,1,1,43,0,1303.11,0
-1,105,7,36,44.0,6,1,43,0,2250.0,0
-1,101,7,36,45.0,3,1,43,0,1419.18,0
-1,101,7,34,44.0,6,1,43,0,2000.0,0
-1,101,7,33,44.0,3,1,43,0,1320.0,0
-1,101,1,43,44.0,6,1,43,0,1400.22,0
-1,101,7,19,44.0,3,1,43,0,1320.0,0
1,101,4,33,44.0,3,1,97,0,1885.62,0
1,101,7,25,44.0,6,1,97,0,1885.62,0
1,101,2,56,44.0,6,1,97,0,1885.62,0
1,101,2,48,44.0,6,1,97,0,1302.0,0
1,101,5,18,44.0,1,1,97,0,1320.0,0
1,101,4,26,44.0,3,1,97,0,1320.0,0
1,101,7,42,44.0,3,1,97,0,2200.0,0
1,101,7,42,44.0,6,1,97,0,1885.62,0
1,101,7,28,44.0,6,1,97,0,1320.0,0
1,101,5,22,44.0,1,1,97,0,1320.0,0
1,101,7,29,44.0,6,1,97,0,1320.0,0
1,101,5,20,45.0,3,1,97,0,1480.0,0
1,101,7,44,44.0,6,1,97,0,2104.77,0
1,101,6,19,44.0,6,1,97,0,1320.0,0
1,101,9,25,44.0,3,3,97,0,1700.0,0
1,101,4,24,45.0,3,1,97,0,1460.8,0
1,101,9,42,40.0,1,3,97,0,7272.0,0
1,101,7,35,44.0,3,1,97,0,1885.62,0
1,101,7,23,44.0,6,1,97,0,1979.76,0
1,101,7,21,44.0,3,3,97,0,1320.0,0
1,101,9,43,44.0,3,3,97,0,1800.0,0
1,101,4,48,44.0,3,1,97,0,1885.62,0
1,101,4,20,44.0,2,1,97,0,1320.0,0
1,101,7,36,45.0,1,1,97,0,1500.0,0
1,101,6,36,44.0,3,1,97,0,1320.0,0
1,101,7,31,44.0,6,1,97,0,1885.62,0
1,101,5,30,44.0,1,1,97,0,2352.29,0
1,101,2,50,44.0,3,1,97,0,2229.58,0
1,101,7,35,44.0,3,1,97,0,1882.89,0
1,101,7,31,45.0,2,1,97,0,2229.58,0
1,101,4,52,44.0,6,1,97,0,1320.0,0
1,101,2,32,45.0,3,1,97,0,1885.62,0
1,101,6,23,45.0,3,1,97,0,1460.8,0
1,101,7,41,44.0,6,1,97,0,1497.51,0
1,101,7,41,44.0,6,1,97,0,1320.0,0
1,101,7,40,44.0,1,1,97,0,1343.77,0
1,101,5,59,40.0,3,1,97,0,2750.0,0
1,101,7,37,45.0,6,1,97,0,1320.0,0
1,101,7,28,45.0,6,1,97,0,1320.0,0
1,101,7,21,44.0,6,1,97,0,1320.0,0
1,101,7,37,44.0,6,1,97,0,1885.62,0
1,101,7,31,44.0,6,1,97,0,1885.62,0
1,101,5,36,44.0,6,1,97,0,1350.0,0
1,101,6,31,44.0,3,1,97,0,1320.0,0
1,101,7,20,44.0,6,1,97,0,1320.0,0
1,101,4,53,44.0,3,1,97,0,1320.0,0
1,101,6,19,44.0,3,1,97,0,1320.0,0
1,101,7,30,44.0,6,1,97,0,3000.0,0
1,101,7,44,44.0,6,1,97,0,1885.62,0
1,105,7,39,44.0,6,1,97,0,8800.0,0
1,101,6,18,44.0,6,1,97,0,1320.0,0
1,101,7,39,44.0,3,3,97,0,2200.0,0
1,101,4,36,45.0,3,3,97,0,1332.98,0
1,111,7,65,44.0,6,1,97,0,1999.8,0
1,101,9,28,44.0,1,1,97,0,4500.0,0
1,101,2,34,44.0,6,1,97,0,1885.62,0
1,101,2,44,44.0,3,1,97,0,1885.62,0
1,101,6,47,40.0,3,1,97,0,1320.0,0
1,101,7,33,48.0,3,1,97,0,8.15,0
1,101,5,39,45.0,3,1,97,0,1885.62,0
1,101,6,22,44.0,6,1,97,0,1343.77,0
1,101,4,27,44.0,3,1,97,0,1320.0,0
1,101,7,21,44.0,6,1,97,0,1320.0,0
1,101,8,24,44.0,3,1,97,0,2200.0,0
1,101,4,37,44.0,6,1,97,0,1885.62,0
1,101,7,49,44.0,6,1,97,0,2390.6,0
1,101,7,33,44.0,6,1,97,0,1885.62,0
1,101,6,35,44.0,3,1,97,0,1885.62,0
1,101,3,29,44.0,3,1,97,0,1320.0,0
1,101,5,21,44.0,6,1,97,0,1320.0,0
1,101,7,32,44.0,3,1,97,0,1343.77,0
1,101,7,22,44.0,3,1,97,0,1320.0,0
1,101,5,43,44.0,6,1,97,0,1320.0,0
1,101,7,52,44.0,1,1,97,0,2352.29,0
1,101,7,42,44.0,3,1,97,0,1302.0,0
1,101,7,44,44.0,6,1,97,0,1979.76,0
1,105,7,41,44.0,6,1,97,0,3200.0,0
1,101,7,18,45.0,1,1,97,0,1302.0,0
1,101,4,30,40.0,3,1,97,0,1320.0,0
1,101,2,29,44.0,3,1,97,0,1885.62,0
1,101,7,34,48.0,1,1,97,0,1320.0,0
1,101,6,26,48.0,1,1,97,0,1830.0,0
1,101,7,41,44.0,3,1,97,0,1320.0,0
1,101,2,46,45.0,3,1,97,0,1885.62,0
1,101,7,37,44.0,6,1,97,0,1885.62,0
1,101,7,44,44.0,6,1,97,0,2500.0,0
1,101,2,40,44.0,6,1,97,0,1885.62,0
1,101,4,46,44.0,3,1,97,0,1885.62,0
1,101,9,30,44.0,6,3,97,0,1700.0,0
1,101,5,26,44.0,6,1,97,0,1320.0,0
1,101,7,54,44.0,6,1,97,0,1885.62,0
1,101,2,18,44.0,3,1,97,0,1320.0,0
1,101,4,18,44.0,6,1,97,0,1320.0,0
1,101,2,36,44.0,6,1,97,0,1302.0,0
1,101,6,38,45.0,3,1,97,0,1320.0,0
1,101,7,38,44.0,6,1,97,0,2229.58,0
1,101,7,29,44.0,6,1,97,0,1320.0,0
1,101,7,39,44.0,6,1,97,0,1320.0,0
1,101,7,45,44.0,6,1,97,0,1885.62,0
1,101,7,29,44.0,6,1,97,0,1885.62,0
-1,101,7,53,44.0,3,1,90,0,1302.0,0
-1,101,7,29,44.0,6,1,33,0,1320.0,0
-1,101,7,34,44.0,3,1,31,0,1686.04,0
-1,101,7,22,44.0,3,1,31,0,1375.0,0
-1,101,7,27,44.0,3,3,31,0,1375.0,0
-1,101,7,36,36.0,1,1,31,0,1686.04,0
-1,101,7,21,44.0,6,1,31,0,1302.0,0
-1,101,7,18,44.0,6,3,31,0,1375.0,0
-1,101,7,31,44.0,1,1,31,0,1412.64,0
-1,101,9,39,44.0,1,1,31,0,1302.0,0
-1,101,7,46,45.0,1,1,31,0,1375.0,0
-1,101,7,24,8.0,1,1,31,0,1375.0,0
-1,101,7,24,16.0,1,3,31,0,1375.0,0
-1,101,5,36,44.0,1,1,31,0,1304.53,0
-1,101,7,29,44.0,3,1,31,0,2050.0,0
-1,101,7,38,48.0,2,1,31,0,2376.42,0
-1,101,7,28,44.0,2,1,31,0,1375.0,0
-1,101,7,21,48.0,6,1,31,0,1375.0,0
-1,111,7,22,44.0,3,3,31,0,1381.6,0
-1,101,7,25,48.0,1,3,31,0,1302.0,0
-1,101,7,23,44.0,3,1,31,0,1304.53,0
-1,101,9,38,44.0,1,1,31,0,1726.08,0
-1,101,7,28,40.0,3,1,31,0,1375.0,0
-1,101,7,34,44.0,6,3,31,0,1375.0,0
-1,101,6,18,44.0,3,1,31,0,1302.0,0
-1,101,6,28,44.0,3,1,31,0,1302.0,0
-1,101,7,19,44.0,6,1,31,0,1375.0,0
-1,101,7,46,44.0,3,1,31,0,1767.14,0
-1,101,7,34,44.0,3,3,31,0,1302.0,0
-1,101,5,29,44.0,6,1,31,0,1407.98,0
-1,101,7,24,45.0,2,1,31,0,1302.0,0
-1,101,7,48,44.0,3,1,31,0,1524.37,0
-1,101,7,25,48.0,1,3,31,0,1375.0,0
-1,101,7,29,44.0,3,1,31,0,1375.0,0
-1,101,7,40,44.0,3,3,31,0,1590.6,0
-1,101,7,24,43.3,3,1,31,0,1375.0,0
-1,101,7,28,44.0,3,1,31,0,1375.0,0
-1,101,8,34,44.0,1,1,31,0,1375.0,0
-1,101,7,37,44.0,6,3,31,0,1302.0,0
-1,101,7,38,36.0,2,3,31,0,1375.0,0
-1,101,7,33,44.0,6,1,31,0,2036.63,0
-1,101,7,31,44.0,1,1,31,0,1684.82,0
-1,101,7,31,44.0,3,1,31,0,1400.0,0
-1,101,9,30,44.0,3,1,31,0,0.0,0
-1,101,7,54,48.0,1,1,31,0,1375.0,0
-1,101,7,26,44.0,3,3,31,0,1304.53,0
-1,101,7,21,44.0,6,3,31,0,1375.0,0
-1,101,7,29,44.0,3,1,31,0,1333.2,0
-1,101,8,32,44.0,3,3,31,0,1266.0,0
-1,111,7,42,44.0,3,3,31,0,1381.6,0
-1,101,7,28,44.0,1,1,31,0,1302.0,0
-1,101,7,47,44.0,2,3,31,0,1375.0,0
-1,101,7,22,44.0,6,1,31,0,1375.0,0
-1,101,7,28,44.0,6,3,31,0,1876.43,0
-1,101,7,28,44.0,6,3,31,0,0.0,0
-1,101,7,18,44.0,1,3,31,0,1320.0,0
-1,101,7,36,42.0,3,3,31,0,1367.58,0
-1,101,7,39,44.0,6,1,31,0,2408.29,0
-1,101,6,24,44.0,3,1,31,0,1375.0,0
-1,101,6,24,44.0,3,3,31,0,1375.0,0
